instruction,input,output,text
Pay off car loan entirely or leave $1 until the end of the loan period?,,"Not sure if it is the same in the States as it is here in the UK (or possibly even depends on the lender) but if you have any amount outstanding on the loan then you wouldn't own the vehicle, the loan company would. This often offers extra protection if something goes wrong with the vehicle - a loan company talking to the manufacturer to get it resolved carries more weight than an individual. The laon company will have an army of lawyers (should it get that far) and a lot more resources to deal with anything, they may also throw in a courtesy car etc.",
Including the region where you live in your investment portfolio?,,"Diversification is a risk-mitigation strategy. When you invest in equities, you generally get a higher rate of return than a fixed income investment. But you have risks... a single company's market value can decline for all sorts of reasons, including factors outside of the control of management. Diversification lets you spread risk and concentrate on sectors that you feel offer the best value. Investing outside of your currency zone allows you to diversify more, but also introduces currency risks, which require a whole other level of understanding. Today, investing in emerging markets is very popular for US investors because these economies are booming and US monetary policy has been weakening the dollar for some time. A major bank failure in China or a flip to a strong dollar policy could literally implode those investments overnight. At the end of the day, invest in what you understand. Know the factors that can lower your investment value.",
Are there any rules against penalizing consumers for requesting accurate credit reporting?,,"The Fair Credit Reporting Act specifies in some detail on pages 50-54 (as labeled in the footer, 55-59 as pages in pdf) the process that occurs when a consumer initiates a dispute.  The safe outcome for the reporting agency is to remove the information in dispute  from reports within 30 days if the reporting party does not certify the information is complete and accurate (with other statutory timelines for communication to the customer and the reporter).   If you initiate a dispute, then the agency is following the law by deleting the reported information, outside new input from the furnisher.  If this is unsatisfactory, you have the following statutory right within § 611. Procedure in case of disputed accuracy [15 U.S.C. § 1681i (d) Notification of deletion of disputed information. Following any deletion of   information which is found to be inaccurate or whose accuracy can no longer   be verified or any notation as to disputed information, the consumer   reporting agency shall, at the request of the consumer, furnish notification   that the item has been deleted or the statement, codification or summary   pursuant to subsection (b) or (c) of this section to any person specifically   designated by the consumer who has within two years prior thereto received   a consumer report for employment purposes, or within six months   prior thereto received a consumer report for any other purpose, which   contained the deleted or disputed information.  The section that binds furnishers of information (§ 623. Responsibilities of furnishers of information to consumer reporting agencies [15 U.S.C. § 1681s-2], starting on page 78 in the footer) places on them the following specific duties: (B) Reporting information after notice and confirmation of errors.   A person shall not furnish information relating to a consumer to   any consumer reporting agency if   (i) the person has been notified by the consumer, at the address   specified by the person for such notices, that specific   information is inaccurate; and   (ii) the information is, in fact, inaccurate. ... (2) Duty to correct and update information. A person who   (A) regularly and in the ordinary course of business furnishes information   to one or more consumer reporting agencies about the   person’s transactions or experiences with any consumer; and   (B) has furnished to a consumer reporting agency information   that the person determines is not complete or accurate, shall   promptly notify the consumer reporting agency of that determination   and provide to the agency any corrections to that information,   or any additional information, that is necessary to make   the information provided by the person to the agency complete   and accurate, and shall not thereafter furnish to the agency any   of the information that remains not complete or accurate. So there you have it: they have to stop reporting inaccurate information, and ""promptly"" notify the credit agency once they've determined what is incomplete or inaccurate. I note no specific statutory timeline for this investigation.",
What are the reasons to get more than one credit card?,,"Another good reason: if you have to replace a card due to damage, loss, or identity theft it's nice to have a backup you can use until the new card for your primary account arrives. I know folks who use a secondary card for online purchases specifically so they can kill it if necessary without impacting their other uses, online arguably being at more risk. If there's no yearly fee, and if you're already paying the bill in full every month, a second card/account is mostly harmless. If you have trouble restraining yourself with one card, a second could be dangerous.",
Why is economic growth so important?,,"One of the best answers to this question that I've ever read is in a paper published by Robert Lucas in the Journal of Economic Perspectives. That journal is meant to a be a place for experts to write about their area of expertise (in economics) for a general but still technically-minded audience. They recently opened up the journal as free to the public, which is a fantastic resource -- you no longer need a subscription to JSTOR (or whatever) to read it.  You can read the abstract to the paper, and find a link to it, here. One of the things that I like a lot about this paper is that it strips out absolutely everything even slightly unnecessary to thinking about a macroeconomy, and just discusses what one can arrive at with a very very simple model. Of course, with great simplicity come sacrifice about details. However, it does a great job of answering your question, ""why do people care about growth?"" A quick note: the key to understanding the answer to your question is to think about things in terms of ""the long term""  -- not even looking forward to the future, because we'll be dead by then, but looking back to the past. The key to the importance of growth is that, for the last ~200 years, the US has, on average, had maybe 2-3% ""real growth"" per year (I'm pulling these numbers out of my head; I think much better numbers are in that paper somewhere). On average, over that period of time, this growth has meant that the quality of life that one has, if one lives in a country experiencing this growth, is enormous compared to countries that do not experience this average growth over that period.  Statistically speaking, growth is also somewhat auto-correlated. Roughly speaking, if it was low the last few periods, you can expect it to be low the next period. Same thing if it's high.   Then, the reason we care about growth right now: if you have too many periods of low growth, pretty soon the average ""over the long term"" growth will be pulled down -- and then quality of life can't be higher in the future (which quickly becomes someone's ""present""). The paper above makes this point with a very simple model. Of course, none of this touches on distributional issues, which are another issue entirely. With respect to, ""The economy needs to grow to just keep up with its debt repayments,"" I think the answer is along the lines of, ""sometimes countries get into debt expecting that growth will increase their resources in the future, and thus they can pay back their debt."" That strategy is, of course, the strategy that anyone borrowing (""taking out a loan"") should be employing -- you should expect that your future income will be enough to pay back your interest+principle on a loan you took. Otherwise you're irresponsible. At the aggregate level, production is the nation's ""income"" -- it is what you have, all that you have (as a nation) to pay back any debt you've incurred at the national level.",
Investment strategy for retired couple,,"You need to have them consult with a financial adviser that has a focus on issues for seniors. This is because they are beyond the saving for retirement phase and are now in the making-their-money-last phase. They also have issues related to health insurance, IRA RMDs, long term care insurance. The adviser will need to review what they have and determine how to make sure it is what they need. It is great idea for you to go along with them so you can understand what needs to be done. You will want an adviser that charges you a fee for making the plan, not one that makes a commission based on what products you buy or invest in.",
What is the US Fair Tax?,,"You asked about the challenges. The transition itself is the biggest one. For people to get used to the tax at the register vs at their paycheck. For a great number of people to find new work. I don't know the numbers, but anyone involved with personal income taxes would be out of work. Sales tax is already part of the process in most states, bumping it to a federal tax wont add too much in overhead.  I make no moral judgment, but consider, most prostitutes and drug dealers are avoiding income tax, but they still are buying the same goods in stores you and I are. This proposed tax reduces the collection noncompliance, and brings more people into ""the system"".  Another factor some may not like is the ability to affect behavior by picking and choosing what to promote, via deductions, such as home buying or charity.",
Does bull/bear market actually make a difference?,,"If you know what you are doing, bear markets offer fantastic trading opportunities. I'm a futures and futures options trader, and am equally comfortable trading long or short, although I have a slight preference for the short side, in that moves are typically much quicker to the down side.",
Does Tennessee have anything like a principal residence exemption?,,"There's no homestead property tax exemption in TN. According to the TN comptroller site: Exemptions Exemptions are available for religious, charitable, scientific, and   nonprofit educational uses, governmental property, and cemeteries.   Most nongovernmental exemptions require a one-time application and   approval by the State Board of Equalization (615/401-7883) and there   is a May 20 application deadline. There is no ""homestead"" exemption,   but low income elderly and disabled persons and disabled veterans may   qualify for a rebate of taxes on a specified portion of the value of   property used as their residence. Business inventories held for sale   or exchange by merchants subject to the business gross receipts tax,   are not assessable. Farm and residential tangible personal property   are not assessable.",
"How can it be possible that only ~10% of options expire worthless, and only ~10% are exercised?",,"Consider the futures market. Traders buy and sell gold futures, but very few contracts, relatively speaking, result in delivery. The contracts are sold, and ""Open interest"" dwindles to near zero most months as the final date approaches. The seller buys back his short position, the buyer sells off his longs.  When I own a call, and am 'winning,' say the option that cost me $1 is now worth $2, I'd rather sell that option for even $1.95 than to buy 100 shares of a $148 stock. The punchline is that very few option buyers actually hope to own the stock in the end. Just like the futures, open interest falls as expiration approaches.",
Will capital gains affect my tax bracket?,,"I'm not sure where you are, but in the United States capital gains are taxed at a lower rate than other types of income. On the 1040, captial gains income is separated from earned income, and income tax is calculated just on earned income. Then capital gains tax is calculated on capital gains income, and then added to income tax afterward.",
Can I sell a stock immediately?,,"You can*, if the market is open, in a normal trading phase (no auction phase), works, and there is an existing bid or offer on the product you want to trade, at the time the market learns of your order. Keep in mind there are 2 prices: bid and offer. If the current bid and current offer were the same, it would immediately result in a trade, and thus the bid and offer are no longer the same. Market Makers are paid / given lower fees in order to maintain buy and sell prices (called quotes) at most times. These conditions are usually all true, but commonly fail for these reasons: Most markets have an order type of market order that says buy/sell at any price. There are still sanity checks put in place on the price, with the exact rules for valid prices depending on the stock, so unless it's a penny stock you won't suddenly pay ten times a stock's value. *The amount you can buy sell is limited by the quantity that exists on the bid and offer. If there is a bid or offer, the quantity is always at least 1.",
"What can a CPA do that an EA cannot, and vice versa?",,"Enrolled Agents typically specialize only in tax matters.  Their status allows them to represent clients before the IRS (which a CPA can also do) See the IRS site regarding Enrolled Agents Their focus is much narrower than a CPA and you would only hire them for advice or representation with tax related matters.  (e.g. you'd not hire an enrolled agent to do an external audit)  A CPA is a much broader certification, covering accounting in general, of which taxes are only a portion. A CPA may or may not specialize in tax matters, so if you have a tax related issue, especially an audit, review or appeal, you may want to query a prospective CPA as to their experience with tax matters and representing clients, appeals, etc. You would likely be better off with an EA than a CPA who eschews tax work and specializes in other things such as financial auditsOn the other hand if you have need of advice that is more generalized to accounting, audits, etc then you'd want to talk with a CPA as opposed to an EA",
Is my stock gone forever from a reverse split / bought by another company?,,"GT BIOPHARMA, INC. ANNOUNCES REVERSE STOCK SPILT AS PART OF OXIS-GEORGETOWN PLANNED MERGER LOS ANGELES, CA / ACCESSWIRE / August 21, 2017 / GT Biopharma Inc.   (formerly known as Oxis International, Inc.) announced today a   1-for-300 reverse stock split. Shareholders of GT Biopharma Inc.   (OTCQB: OXIS and Euronext Paris: OXI.PA) will be issued 1 share of   common stock for every 300 shares common stock that they owned. If you owned fewer than 300 shares, they cashed you out.",
Why does quantitative easing negatively affect stocks?,,Can you isolate the market impact to just the Fed's quantitative easing?  Can you rule out the future economic predictions of low growth and that there are reasons why the Fed has kept rates low and is trying its best to stimulate the economy?  Just something to consider here. The key is to understand what is the greater picture here as well as the question of which stock market index are you looking at that has done so badly.  Some stocks may be down and others may be up so it isn't necessarily bad for all equally.,
How to calculate how much a large stock position is really worth?,,"Something like cost = a × avg_spreadb + c × volatilityd × (order_size/avg_volume)e. Different brokers have different formulas, and different trading patterns will have different coefficients.",
"$700 guaranteed to not be touched for 15 years+, should I put it anywhere other than a savings account?",,"Well, I understand this forum is about money but I think you would be far better off if you invest the money in your daughters education or something similar that can bring much more significant future gains. I am a big fan of compound interest and investing in stocks but $700 sitting until she's 21 wont grow into a significant amount. When she's 21, what would you ""hope"" she'd spend the money on? something valuable like education right? so why don't you take the first step now so she will get a much bigger return than the monitory value. If I were you I'd invest in a home library or something similar.",
What are the implications of a corporate stock repurchase or share buyback program?,,"A board authorizes the repurchase of shares because they feel the stock in undervalued. The hope is that the stocks will rise either directly by their repurchase, or in the near term due to the realization that the company is in better shape then the market thought. Eventually those shares will be resold back into the market thus bring in more cash at a later date.  They will set limits on them maximum they will pay, they will also spread the repurchases out over a time period so they don't overwhelm the market.",
How much time should be spent on Penny Stocks Trading a day?,,"How long is a piece of string?  This will depend on many variables. How many trades will you make in a day? What income would you be expecting to make? What expectancy do you need to achieve? Which markets you will choose to trade?  Your first step should be to develop a Trading Plan, then develop your trading rules and your risk management. Then you should back test your strategy and then use a virtual account to practice losing on. Because one thing you will get is many losses. You have to learn to take a loss when the market moves against you. And you need to let your profits run and keep your losses small. A good book to start with is Trade Your Way to Financial Freedom by Van Tharp. It will teach you about Expectancy, Money Management, Risk Management and the Phycology of Trading. Two thing I can recommend are: 1) to look into position and trend trading and other types of short term trading instead of day trading. You would usually place your trades after market close together with your stops and avoid being in front of the screen all day trying to chase the market. You need to take your emotion out of your trading if you want to succeed; 2) don't trade penny stocks, trade commodities, FX or standard stocks, but keep away from penny stocks. Just because you can buy them for a penny does not mean they are cheap.",
Is short selling a good hedging strategy during overzealous market conditions?,,"Short selling can be a good strategy to hedge, but you have almost unlimited downside.  If a stock price skyrockets, you may be forced to cover your short by the brokerage before you want to or put up more capital. A smarter strategy to hedge, that limits your potential downside is to buy puts if you think the market is going down.  Your downside is limited to the total amount that you purchased the put for and no more. Another way to hedge is to SELL calls that are covered because you own the shares the calls refer to.  You might do this if you thought your stock was going to go down but you didn't want to sell your shares right now.  That way the only downside if the price goes up is you give up your shares at a predetermined price and you miss out on the upside, but your downside is now diminished by the premium you were paid for the option. (You'd still lose money if the shares went down since you still own them, but you got paid the option premium so that helps offset that).",
How to decide on split between large/mid/small cap on 401(k) and how often rebalance,,"It's a trade-off. The answer depends on your risk tolerance. Seeking higher rewards demands higher risk. If you want advice, I would recommend hiring an expert to design a plan which meets your needs. As a sample point, NOT necessarily right for anyone else...I'm considered an aggressive investor, and my own spread is still more conservative than many folks. I'm entirely in low-cost index funds, distributed as ... with the money tied up in a ""quiesced"" defined-contribution pension fund being treated as a low-yield bond. Some of these have beaten the indexes they're tracking, some haven't. My average yield since I started investing has been a bit over 10%/year (not including the company match on part of the 401k), which I consider Good Enough -- certainly good enough for something that requires near-zero attention from me. Past results are not a guarantee of future performance. This may be completely wrong for someone at a different point in their career and/or life and/or finances. I'm posting it only as an example, NOT a recommendation.  Regarding when to rebalance: Set some threshhold at which things have drifted too far from your preferred distribution (value of a fund being 5% off its target percentage in the mix is one rule I've sometimes used), and/or pick some reasonable (usually fairly low) frequency at which you'll actively rebalance (once a year, 4x/year, whenever you change your car's oil, something like that), and/or rebalance by selecting which funds you deposit additional money into whenever you're adding to the investments. Note that that last option avoids having to take capital gains, which is generally a good thing; you want as much of your profit to be long-term as possible, and to avoid triggering the ""wash sales"" rule. Generally, you do not have to rebalance very frequently unless you are doing something that I'd consider unreasonably risky, or unless you're managing such huge sums that a tiny fraction of a percent still adds up to real money.",
Buying from an aggressive salesperson,,I often spend weeks or months (and sometimes even years) deciding whether to buy something. Certainly the dealer should recognize you by now if you take a third opportunity to look at the same instrument. You could politely remind him that you've twice declined his excellent prices. From there you can assert that you will purchase only when you are ready.,
What are some signs that the stock market might crash?,,"There are some economic signs as there are in all economic and business cycles, such as interest rates rising. However, a more effective way is to actually look at price action itself. The definition of an uptrend is higher highs followed by higher lows. The definition of a downtrend is lower lows followed by lower highs. So if you are looking to invest for the long term you can look at the weekly or even the monthly chart of the market say over the past 10, 15 or 20 years. Using these definitions on say the S&P500 if the price continues to make higher highs and higher lows then stay in the market. If the price makes a lower high than the previous high, then this is a warning sign that the trend may be about to end. The trend has not broken yet but it is a warning sign that it could be ending soon. If the price makes a higher low next followed by a higher high, then the trend continues and you just need to keep an eye on things. If, however, the price makes a lower low after the lower high this is a signal that the uptrend is over and you should get out of the market. If the price makes a lower low directly after a higher high, then be cautious and wait for confirmation that the uptrend is over. If you then get a lower high this is confirmation that the uptrend is over, you would then sell if prices drop below the previous low. If you invest in individual shares then you should keep an eye on the charts for the index and individual shares as well. The index chart will give you an indication if the uptrend is over for the whole market, then you can be more cautious in regards to the individual shares. You can then plan exit points on each individual share if their trends are broken too. If you have stop losses employed and the trend reverses on the index, this would be a good time to tighten your stop losses on individual shares. You can then buy back into the market when you determine that the downtrend is broken and prices start to show higher highs and higher lows again. Will there be occasions when the uptrend reverses and then after a short period starts trending up again, yes there might be, but the worse that will happen is that you pay a bit of extra brokerage to get out and then back into the market, and you might have to pay some capital gains tax on any profits made. But remember no one ever went broke making a profit. The most important thing to remember when investing is to conserve and protect your capital. I would rather pay some extra brokerage and some capital gains tax than see my portfolio drop by 50% or more, then take 5 years or more to recover. And remember, paying tax is a good thing, it means you made money. If you don't want to pay any tax it means you will never make any profits, because if you make profits you will have to pay tax one day.",
Recent college grad. Down payment on a house or car?,,"Buy a car. Unless you definitely know you are living in the area for a good long time, avoid buying a house and get a car instead.",
401k with paltry match or SPY ETF?,,"I think you understood much of what I say, in general. Unfortunately, I didn't follow Patches math.  What I gleen from your summary is a 1% match to the 10% invested, but a .8% expense. The ETF VOO has a .05% annual fee, a bit better than SPY.  A quick few calculations show that the 10% bonus does offset a long run of the .75% excess expense compared to external investing. After decades, the 401(k) appears to still be a bit ahead. Not the dramatic delta suggested in the prior answer, but enough to stay with the 401(k) in this situation. The tiny match still makes the difference. Edit - the question you linked to. The 401(k) had no match, and an awful 1.2% annual expense. This combination is deadly for the younger investor. Always an exception to offer - a 25% marginal rate earner close to retiring at 15%. The 401(k) deposit saves him 25, but can soon be withdrawn at 15, it's worth a a few years of that fee to make this happen. For the young person who is planning a quick exit from the company, same deal.",
"What can I replace Microsoft Money with, now that MS has abandoned it?",,"hledger is a free software, cross-platform double-entry accounting tool I've been working on for a while. It has command-line and web-based interfaces to your local data, and some other interesting features. There's also ledger (http://wiki.github.com/jwiegley/ledger/) which is command-line only. These are.. different, but worth a look for some folks.",
Why don't banks print their own paper money / bank notes?,,"Any person at any time may produce their own currency, one can even do so on the back of a paper napkin, ripped beer coaster or whatever.  This is NOT a banking privilege, it is within the lawful ability of anyone capable of engaging in commerce. It is called a 'negotiable instrument' ... it gives the holder rights to a sum of money.  Notice that I say 'holder' ... this is what distinguishes it from a non-negotiable instrument, the fact that you don't need to redeem it from source, you can pass it to another who then becomes the 'holder in due course' and thus obtains the rights conferred. The conferable rights over a sum of money (or, indeed, other asset) are themselves 'value' Do banks do this ?  Yes, all the time! ... one of the simplest examples are cheques drawn against the bank, which are considered 'as good as cash'.  Usually they will be drawn out to the order of the person you wish to pay ... but can equally be drawn out to bearer.  The only reasons they resist making out to bearer is : But you can write your own at 'any time' on 'any thing' ... See the apocryphal, yet deliciously entertaining, tale of the 'negotiable cow'",
"Pros & cons in Hungary of investing retirement savings exclusively in silver? What better alternatives, given my concerns?",,"This sound like a very bad idea. If you invest exclusively in silver, your investment is not diversified in any way. This is what I would call risky. Have a look at index funds and ETFs and build a diversified portfolio. It does not take much time, and you don't need to let it do by someone else. They are risky too, but I see ""silver only"" as much riskier. You reduce the risk by holding on to the funds for a long time.",
Is there any circumstance in which it is necessary to mark extra payments on a loan as going to “principal and not interest”?,,"It could be a couple of things besides extra principal: I seem to remember hearing that some (shady?) lenders would just pocket extra payments if you didn't specify where they were headed, but I've also been told that this just isn't true.",
Automatic investments for cheap,,"For your purposes, I would recommend using direct investment in a no-load mutual fund.  I mostly use Vanguard and would recommend them.  They just about invented index funds, usually have the lowest (internal) expenses for index and many other funds, if you take electronic instead of paper statements there is no maintenance fee, have no transaction commission, can do periodic automatic investment from a bank account etc.  A typical index fund there would require an initial $3000 investment and would have a minimum of $100 for each additional investment.  If you can't come up with an initial sum of that size, you might be able to find a broker with a lower minimum and suitable free ETFs trades as others have suggested.",
Do other countries have the equivalent of Australia's Negative Gearing?,,"In India, where I live, you can: In addition, housing loans are given priority status as well - bank capital requirements on housing loans is lower than for, say, a corporate loan or a loan against other kinds of collateral. That makes housing loans cheaper as well - you get a home loan at around 10% in India versus 15% against most other assets, and since you can deduct it against tax, the effective interest rate is even lower.  Housing in India is unaffordable too, if you're wondering. In a suburb 40 Km away from Delhi, a 2000 sq. foot apartment, about 1500 sq. ft. of carpet area, with no appliances costs about USD 250,000.",
Is it possible to influence a company's actions by buying stock?,,"Another form of 'shareholder' activism. You might be able to buy a single share, which it seems would cost around $35, attend the AGM, and ask questions and/or shout or sing and delay proceedings. There would certainly be security guards or police ready to remove protesters at an AGM.",
Why might it be advisable to keep student debt vs. paying it off quickly?,,"Like all other loan-vs-savings questions, it depends on the terms of the loan. If you have a choice, the usual answer is to pay off the loan with the worst terms (which usually means the highest interest rate) first, and only start with savings when you've paid off all the high-interest loans entirely. If your student loan is on US terms, then pay it off as soon as you can, unless you have commercial debt (credit-card or unsecured personal loan), which you should pay off first, or unless you have or are realistically likely to get eligibility for a forgiveness program. But it does depends on the terms of the debt, which in turn depend on the country you studied in; on UK terms it's a very bad idea to pay off a student loan any faster than you have to.  Interest is restricted to the rate of inflation, so good investments probably beat the interest rate of the student loan; the required repayments vary with your income, so savings are more useful than debt repayment if you encounter income difficulties (e.g unemployment) in the future, and finally the debt is automatically forgiven after 30 years, so you may never have to pay it all back anyway - so why pay it off voluntarily if it would get forgiven eventually anyway?",
